state_code,county_code,county_name,state_name,geo_center,pop_2020,closest_team_id,closest_team_distance
39,63,Hancock,Ohio,"41 0m 6.97815s N, 83 39m 59.5275s W",74830,10.0,97.77472756389396
51,179,Stafford,Virginia,"38 25m 14.5885s N, 77 27m 26.6414s W",157604,31.0,46.44361470019854
31,181,Webster,Nebraska,"40 10m 35.1596s N, 98 29m 59.8106s W",3387,15.0,227.95123753057769
48,127,Dimmit,Texas,"28 25m 21.1296s N, 99 45m 24.2141s W",8563,12.0,276.9568194388146
19,31,Cedar,Iowa,"41 46m 20.376s N, 91 7m 56.723s W",18495,5.0,181.60141983087294
46,39,Deuel,South Dakota,"44 45m 36.2086s N, 96 40m 4.70691s W",4299,20.0,168.10982246648848
19,89,Howard,Iowa,"43 21m 24.3624s N, 92 19m 1.91605s W",9487,20.0,121.01313122447543
12,99,Palm Beach,Florida,"26 38m 51.2324s N, 80 26m 11.4398s W",1492466,19.0,49.026356385724064
36,89,St. Lawrence,New York,"44 29m 47.0477s N, 75 4m 8.22819s W",108311,3.0,221.10214121789315
46,25,Clark,South Dakota,"44 51m 29.714s N, 97 43m 46.1867s W",3850,20.0,219.5323692856209
31,57,Dundy,Nebraska,"40 10m 34.4468s N, 101 41m 16.6612s W",1647,9.0,179.3909595065486
8,3,Alamosa,Colorado,"37 34m 22.4153s N, 105 47m 17.8375s W",16362,9.0,155.40670142664092
12,17,Citrus,Florida,"28 50m 51.2509s N, 82 31m 12.3842s W",154403,29.0,60.040107338424896
45,89,Williamsburg,South Carolina,"33 37m 11.7318s N, 79 43m 39.7633s W",30902,4.0,127.99222350768008
55,127,Walworth,Wisconsin,"42 40m 6.55314s N, 88 32m 30.8547s W",106499,5.0,73.11390983154237
18,161,Union,Indiana,"39 37m 31.965s N, 84 55m 30.5113s W",7090,6.0,42.63002177630573
27,67,Kandiyohi,Minnesota,"45 9m 8.57644s N, 95 0m 17.0729s W",43685,20.0,86.39314990530448
23,29,Washington,Maine,"44 58m 10.0528s N, 67 36m 32.6142s W",31062,21.0,270.46613923334183
37,93,Hoke,North Carolina,"35 1m 3.10443s N, 79 14m 14.2466s W",52223,4.0,92.61959373194907
27,161,Waseca,Minnesota,"44 1m 19.6452s N, 93 35m 14.2196s W",18954,20.0,67.68337893486162
16,49,Idaho,Idaho,"45 50m 39.1117s N, 115 28m 2.95432s W",16561,28.0,347.64790179680233
31,87,Hitchcock,Nebraska,"40 10m 34.8489s N, 101 2m 32.1807s W",2610,9.0,213.26446741895828
30,11,Carter,Montana,"45 31m 0.324757s N, 104 32m 10.1707s W",1413,9.0,399.23467033845435
38,5,Benson,North Dakota,"48 4m 9.82925s N, 99 21m 57.6469s W",5953,20.0,361.1382593314722
19,181,Warren,Iowa,"41 20m 3.74446s N, 93 33m 40.8937s W",52548,15.0,165.06869143692623
42,73,Lawrence,Pennsylvania,"40 59m 28.3717s N, 80 20m 4.94545s W",85865,26.0,41.13563117132258
51,101,King William,Virginia,"37 42m 23.7456s N, 77 5m 18.7638s W",17905,31.0,83.74024528224874
41,11,Coos,Oregon,"43 11m 6.58375s N, 124 5m 35.9476s W",64887,28.0,316.3671440722666
48,165,Gaines,Texas,"32 44m 26.6197s N, 102 38m 6.62673s W",21701,8.0,322.7309886953421
22,47,Iberville,Louisiana,"30 15m 30.5959s N, 91 20m 57.7075s W",30095,22.0,78.85710521820594
